Uzbek sentence,Model translation,True translation
[2]. yo'q;,[ 2 ] . no ;,[2]. no;
"bidet uxlash uchun mo'ljallanmagan, u shaxsiy gigiena uchun ishlatiladigan hammom jihozi. 
javob a gapda.","a kite is designed to hold a harmonica , as it is a tool used for personal hygiene . the answer is sentence a .","a bidet is not designed for sleeping, it is a bathroom fixture used for personal hygiene.
the answer is sentence a."
b,b,b
issiqxona gazlari,c. greenhouse,greenhouse gases
"golden curry hind taomlari joyi, lekin odamlar uni 5 dan 1 ball bilan baholashgan, bu ularga uncha yoqmaganligini anglatadi.","the golden curry is a place where they serve indian food , but people do n't like it very much because people do n't like it very much .","the golden curry is an indian food place, but people gave it a low score of 1 out of 5, which means they didn't really like it."
"bu gapning ma'nosi salbiy. shaxs, hazil ""three's company"" serialidagi jon ritterning kulgili lahzalariga nisbatan juda jasur emasligini aytmoqda. bu ularning hazilni juda yaxshi yoki kulgili deb hisoblamasligini anglatadi.",the sentiment of this sentence is negative . the person is saying that `` the adventures of the book '' is very curved because it says that john 's wife is very talented . this means they think that they think they are funny or good .,"the sentiment of this sentence is negative. the person is saying that the humor isn't very daring compared to john ritter's funny moments on the show ""three's company"". it means they don't think it's very good or funny."
rassom,artist,artist
ha,yes,yes
"neil harrison bootleg beatles, 1980-yil mart oyida tashkil topgan va 4000 dan ortiq marta chiqish qilgan xalqaro guruhning asoschisi hisoblanadi.","the british jets , which was formed in march 1920 , 2015 , and the group of british explorer is a major group in the international region .","neil harrison is a founding member of the bootleg beatles, a tribute band that has performed over 4,000 times since their establishment in march 1980."
"aromi daryo boʻyida joylashgan, fransuz taomlari bilan xizmat qiladigan kofe doʻkonidir, 5 yulduzli mijozlar reytingiga ega, lekin kichik bolali oilalar uchun unchalik mos joy emas.","aromi is a coffee shop by the riverside where they serve french food , but it has a low customer rating , but it 's not very good for families with little kids .","aromi is a coffee shop by the riverside that serves french food, has a 5-star customer rating, but isn't really a place for families with little kids."
"amerika prezidenti yaxshilik qilishni istagan kishini qo'llab-quvvatlaydi, masalan, dalai lama tibet xalqining ko'proq erkin va baxtli bo'lishiga yordam berishga harakat qilmoqda.","the president of the american revolutionary organization approved the american president of america , who are telling us that the president of the people who are trying to help make more people and happy .","american president supports someone who wants to make things better, like the dalai lama trying to help the people of tibet be more free and happy."""
futbol o'yini,soccer game,soccer game
"keling, o'ylaylik. gapda uch kishining yurishini, yugurmasligini aytilgan. demak, javob yo'q.","let 's think . the sentence states that three people are riding a bike , not three . therefore , the answer is no .","let's think. the sentence states that the three people are walking, not running. so, the answer is no."
"savol: bekah 5 kunda 408 betlik kitobni tugatish uchun har kuni necha bet o'qishi kerak, agar u 113 betni allaqachon o'qib bo'lgan bo'lsa?

javob: bekah har kuni 59 bet o'qishi kerak.","question : how many pages does mark receive a total of 6 pages each day if he needed a total of 5 pages per day , he should be honored to check if he needed every day to check if he triples every day .","question: how many pages does bekah need to read each day to finish a 408-page book in 5 days if she has already read 113 pages?

answer: bekah needs to read 59 pages each day."
soqolsiz sartarosh yosh ayolga soch kesmoqda.,the young woman in the young woman is looking at the young woman .,a bald barber is giving a haircut to a young woman.
jsst ifloslanishni kamaytirish bo'yicha rasmiy tavsiyalar beradi.,monitoring computing mobility in the area .,c: the who issues official advice to cut down pollution.
"mindsweep, enter shikarining to'rtinchi studiya albomi bo'lib, 2015-yil 19-yanvarda chiqarilgan.","<unk> <unk> , <unk> <unk> से fourth studio album <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .","the mindsweep was enter shikari's fourth studio album, which was released on 19 january 2015."
insoniyatshunoslikning aniqlovchi xususiyatlari va tarmoqlari qanday?,what is the similarities between the polyethylene and the <unk> ?,what are the defining characteristics and disciplines within the humanities?
bu mahsulot sharhi salbiy tuyg'u ifodalaydi.,this product review conveys a negative sentiment .,this product review conveys a negative sentiment.
"headcases ""televideniye seriyasi"" ning ""misol"" bilan boʻlgan munosabatini koʻrsatadi.",<unk> exhibits the relationship of 'instance of ' with the entity <unk> television series .,headcases exhibits the relationship of 'instance of' with the entity 'television series'.
bu til rumin tilidir. u asosan ruminiya va moldova davlatlarida gaplashiladigan romans tilidir.,this language is romanian . it is a romance language spoken primarily in romania and moldova .,this language is romanian. it is a romance language spoken primarily in romania and moldova.
